SGS Bonds and T-bills & CMTBs Auction Result Data

Issue Code,ISIN Code,Product Type,Term to Maturity at Auction,Auction Amount (S$M),Auction Date,Issue Date,Maturity Date,Amount Applied (S$M),Coupon Rate (%),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
BS20110V,SGXZ43218304,T-bills,182,4200,28/05/2020,02/06/2020,01/12/2020,9147.4,N/A,2.18,0.23,99.885,0.16,99.920,0.15,99.925
BS20111A,SGXZ14761480,T-bills,182,3800,11/06/2020,16/06/2020,15/12/2020,8570.7,N/A,2.26,0.24,99.880,0.20,99.900,0.17,99.915
BS20112E,SGXZ91660647,T-bills,182,3800,25/06/2020,30/06/2020,29/12/2020,9129.8,N/A,2.40,0.30,99.850,0.26,99.870,0.24,99.880
BS20113F,SGXZ93643161,T-bills,182,3800,09/07/2020,14/07/2020,12/01/2021,8844.2,N/A,2.33,0.26,99.870,0.22,99.890,0.20,99.900
BS20114Z,SGXZ90546128,T-bills,182,3800,23/07/2020,28/07/2020,26/01/2021,7954.0,N/A,2.09,0.27,99.865,0.21,99.895,0.16,99.920
BS20115S,SGXZ56678576,T-bills,182,3500,05/08/2020,11/08/2020,09/02/2021,9590.0,N/A,2.74,0.24,99.880,0.19,99.905,0.14,99.930
BS20116H,SGXZ90740754,T-bills,182,3700,20/08/2020,25/08/2020,23/02/2021,8491.1,N/A,2.29,0.27,99.865,0.19,99.905,0.16,99.920
BS20117T,SGXZ39410170,T-bills,182,3900,03/09/2020,08/09/2020,09/03/2021,7743.3,N/A,1.99,0.26,99.870,0.20,99.900,0.17,99.915
BS20118X,SGXZ62747837,T-bills,182,3700,17/09/2020,22/09/2020,23/03/2021,6958.8,N/A,1.88,0.25,99.875,0.21,99.895,0.18,99.910
BS20119W,SGXZ64461627,T-bills,182,3100,01/10/2020,06/10/2020,06/04/2021,5837.6,N/A,1.88,0.26,99.870,0.22,99.890,0.20,99.900
BS20120Z,SGXZ32330193,T-bills,182,3500,15/10/2020,20/10/2020,20/04/2021,8507.2,N/A,2.43,0.25,99.875,0.19,99.905,0.16,99.920
BS20121S,SGXZ86938016,T-bills,182,3800,29/10/2020,03/11/2020,04/05/2021,8742.8,N/A,2.30,0.28,99.860,0.24,99.880,0.20,99.900
BS20122H,SGXZ88924709,T-bills,182,3600,12/11/2020,17/11/2020,18/05/2021,7240.6,N/A,2.01,0.30,99.850,0.25,99.875,0.20,99.900
BS20123T,SGXZ79587358,T-bills,182,4200,26/11/2020,01/12/2020,01/06/2021,8526.6,N/A,2.03,0.32,99.840,0.27,99.865,0.24,99.880
BS20124X,SGXZ55007173,T-bills,182,3800,10/12/2020,15/12/2020,15/06/2021,6322.7,N/A,1.66,0.45,99.776,0.34,99.830,0.33,99.835
BS20125W,SGXZ46795399,T-bills,182,3800,23/12/2020,29/12/2020,29/06/2021,8301.9,N/A,2.18,0.38,99.811,0.33,99.835,0.28,99.860
BS21100H,SGXZ30686604,T-bills,182,3800,07/01/2021,12/01/2021,13/07/2021,8176.0,N/A,2.15,0.33,99.835,0.29,99.855,0.26,99.870
BS21101T,SGXZ98866304,T-bills,182,3800,21/01/2021,26/01/2021,27/07/2021,10567.5,N/A,2.78,0.30,99.850,0.26,99.870,0.21,99.895
BS21102X,SGXZ12876249,T-bills,182,3800,04/02/2021,09/02/2021,10/08/2021,9475.2,N/A,2.49,0.29,99.855,0.25,99.875,0.20,99.900
BS21103W,SGXZ30306765,T-bills,182,4000,18/02/2021,23/02/2021,24/08/2021,13418.1,N/A,3.35,0.31,99.845,0.20,99.900,0.21,99.895
BS21104N,SGXZ81946675,T-bills,182,4000,04/03/2021,09/03/2021,07/09/2021,9508.1,N/A,2.38,0.35,99.825,0.28,99.860,0.22,99.890
BS21105V,SGXZ44844975,T-bills,182,4000,18/03/2021,23/03/2021,21/09/2021,7554.2,N/A,1.89,0.44,99.781,0.30,99.850,0.28,99.860
BS21106A,SGXZ24435679,T-bills,182,3600,31/03/2021,06/04/2021,05/10/2021,7724.9,N/A,2.15,0.41,99.796,0.37,99.816,0.33,99.835
BS21107E,SGXZ38658035,T-bills,182,4000,15/04/2021,20/04/2021,19/10/2021,8993.5,N/A,2.25,0.37,99.816,0.31,99.845,0.26,99.870
BS21108F,SGXZ85068062,T-bills,182,4200,29/04/2021,04/05/2021,02/11/2021,8835.6,N/A,2.10,0.37,99.816,0.34,99.830,0.31,99.845
BS21109Z,SGXZ19268879,T-bills,182,4000,12/05/2021,18/05/2021,16/11/2021,10258.4,N/A,2.56,0.33,99.835,0.31,99.845,0.23,99.885
BS21110N,SGXZ15051535,T-bills,182,4500,27/05/2021,01/06/2021,30/11/2021,10205.3,N/A,2.27,0.30,99.850,0.28,99.860,0.23,99.885
BS21111V,SGXZ50271949,T-bills,182,4000,10/06/2021,15/06/2021,14/12/2021,9034.5,N/A,2.26,0.30,99.850,0.28,99.860,0.26,99.870
BS21112A,SGXZ42613513,T-bills,182,3900,24/06/2021,29/06/2021,28/12/2021,7503.4,N/A,1.92,0.33,99.835,0.28,99.860,0.24,99.880
BS21113E,SGXZ25201864,T-bills,182,4000,08/07/2021,13/07/2021,11/01/2022,9095.3,N/A,2.27,0.32,99.840,0.26,99.870,0.22,99.890
BS21114F,SGXZ42739318,T-bills,182,4000,22/07/2021,27/07/2021,25/01/2022,8111.8,N/A,2.03,0.32,99.840,0.28,99.860,0.23,99.885
BS21115Z,SGXZ61556213,T-bills,182,4000,04/08/2021,10/08/2021,08/02/2022,8180.2,N/A,2.05,0.32,99.840,0.27,99.865,0.25,99.875
BS21116S,SGXZ84287846,T-bills,182,4000,19/08/2021,24/08/2021,22/02/2022,8233.0,N/A,2.06,0.30,99.850,0.27,99.865,0.23,99.885
